n,method,mean_makespan,std_makespan,mean_time,std_time,mean_gap,std_gap
3,RS_insert,222.0,0.0,0.15000920002348722,0.00420144598060923,0.0,0.0
3,RS_swap,222.0,0.0,0.17904256002511829,0.04443187149717338,0.0,0.0
3,SA_insert,222.0,0.0,9.439908539992757,0.2248536037168094,0.0,0.0
3,SA_swap,222.0,0.0,9.32739395997487,0.178400896776898,0.0,0.0
4,RS_insert,264.0,0.0,0.1546447199769318,0.003965532348310853,0.0,0.0
4,RS_swap,264.0,0.0,0.15676305997185408,0.007467964511355904,0.0,0.0
4,SA_insert,264.0,0.0,11.058828239981086,0.18072904177912102,0.0,0.0
4,SA_swap,264.0,0.0,11.372151339962148,0.4003386578093553,0.0,0.0
5,RS_insert,311.0,0.0,0.17040021996945143,0.010422382595195652,0.0,0.0
5,RS_swap,311.0,0.0,0.1581266200169921,0.005954358817535544,0.0,0.0
5,SA_insert,311.0,0.0,13.377216579997912,0.2708998480729371,0.0,0.0
5,SA_swap,311.0,0.0,12.874560839985497,0.3832712654994845,0.0,0.0
